Late,by auther,by term,KnownQoute,Version Id,Loaded,Book Title,Author,Date,Length,Edition / Editor,Tags,Status,url
,yes,,,JK011273,yes,0327AbuBakrKharaiti.IctilalQulub,Abu Bakr Kharaiti,327,63656,,CENT0400 :: AKHLAQ :: HADITH :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@prose :: GAL@literature-arabic :: GAL@education-general :: GAL@literature-popular :: JK@كتب الأخلاق والسلوك :: JK@مواضيع مسندة في الأخلاق والتزكية :: born@IraqRE :: born@SAMARRA438E342NS,pri,https://raw.githubusercontent.com/OpenITI/0350AH/master/data/0327AbuBakrKharaiti/0327AbuBakrKharaiti.IctilalQulub/0327AbuBakrKharaiti.IctilalQulub.JK011273-ara1
,,Zuhd,,Shamela0013027,yes,0243HannadIbnSari.Zuhd,Hannad Ibn Sari,243,66777,عبد الرحمن عبد الجبار الفريوائي :: دار الخلفاء للكتاب الإسلامي - الكويت,CENT0300 :: ADAB :: ADHKAR :: AJZA :: AKHLAQ :: HADITH :: RAQAIQ :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@hadith :: GAL@literature-arabic :: Shamela@الرقاق والآداب والأذكار :: born@IraqREAuto,pri,https://raw.githubusercontent.com/OpenITI/0250AH/master/data/0243HannadIbnSari/0243HannadIbnSari.Zuhd/0243HannadIbnSari.Zuhd.Shamela0013027-ara1
,Yes,,Yes,Shamela0009953,yes,0465IbnHawazinQushayri.RisalaQushayriyya,Ibn Hawazin Qushayri,465,113883,"الإمام الدكتور عبد الحليم محمود، الدكتور محمود بن الشريف :: دار المعارف، القاهرة",CENT0500 :: ADAB :: ADHKAR :: AKHLAQ :: RAQAIQ :: TASAWWUF :: GAL@literature-islamic :: GAL@1000-1258CE :: GAL@literature-arabic :: GAL@sufism :: GAL@mysticism :: GAL@period-postclassical :: Shamela@الرقاق والآداب والأذكار :: born@KhurasanRE,pri,https://raw.githubusercontent.com/OpenITI/0475AH/master/data/0465IbnHawazinQushayri/0465IbnHawazinQushayri.RisalaQushayriyya/0465IbnHawazinQushayri.RisalaQushayriyya.Shamela0009953-ara1
,yes,,,Shamela0026349,yes,0276IbnQutaybaDinawari.AdabKatib,"Ibn Qutayba Dinawari :: Ibn Qutaybaŧ, al-Dīnawarī :: Abū Muḥammad ʿAbd Allāh b. Muslim b. Qutaybaŧ al-Dīnawarī, al-Kūfī, al-Marwazī",276,68577,محمد الدالي :: مؤسسة الرسالة,MARKDOWN :: CENT0300 :: SBS :: ADAB :: ADAB :: BALAGHA :: CARUD :: KITABA :: GAL@period-classical :: GAL@literature-islamic :: GAL@0750-1000CE :: GAL@literature-arabic :: GAL@philology :: Shamela@الأدب والبلاغة :: born@IraqRE,pri,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0276IbnQutaybaDinawari/0276IbnQutaybaDinawari.AdabKatib/0276IbnQutaybaDinawari.AdabKatib.Shamela0026349-ara1.mARkdown
,yes,,,Shamela0010695,yes,0463IbnCabdBarr.Durar,Ibn Cabd Barr :: Ibn ʿAbd al-Barr :: Abū ʿUmar Yūsuf b. ʿAbd Allāh b. Muḥammad b. ʿAbd al-Barr al-Qurṭubī al-Namarī,463,70891,"الدكتور شوقي ضيف :: دار المعارف - القاهرة :: ¶ https://ia800903.us.archive.org/29/items/demsPDF/dems.pdf, permalink,¶ permalink",COMPLETED :: CENT0500 :: PPE :: ASHAB :: HADITH :: SHAMAIL :: SIRA :: SUNNI :: GAL@literature-islamic :: GAL@1000-1258CE :: GAL@hadith :: GAL@literature-arabic :: GAL@period-postclassical :: GAL@spain :: Shamela@السيرة والشمائل :: born@QURTUBA047W379NS :: born@AndalusRE :: died@SHATIBA005W389NS :: resided@QURTUBA047W379NS :: resided@DANIYA001E388NS :: resided@LISHBUNA091W387NS :: resided@SHANTARIN087W392NS :: resided@BALANSIYYA004W394NS :: resided@SHATIBA005W389NS :: visited@ISHBILIYYA059W374NS :: visited@BATALYUS069W388NS,pri,https://raw.githubusercontent.com/OpenITI/0475AH/master/data/0463IbnCabdBarr/0463IbnCabdBarr.Durar/0463IbnCabdBarr.Durar.Shamela0010695-ara1.completed
,yes,,,ShamAY0033949,yes,0327AbuBakrKharaiti.MakarimAkhlaq,Abu Bakr Kharaiti,327,71370,,:: ShamAY@متون الحديث :: born@IraqRE :: born@SAMARRA438E342NS,pri,https://raw.githubusercontent.com/OpenITI/0350AH/master/data/0327AbuBakrKharaiti/0327AbuBakrKharaiti.MakarimAkhlaq/0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033949-ara1
,yes,,,Sham19Y0151010,yes,0276IbnQutaybaDinawari.MasailWaAjwiba,"Ibn Qutayba Dinawari :: Ibn Qutaybaŧ, al-Dīnawarī :: Abū Muḥammad ʿAbd Allāh b. Muslim b. Qutaybaŧ al-Dīnawarī, al-Kūfī, al-Marwazī",276,76169,"مروان العطية - محسن خرابة :: الأولى، 1410 ه - 1990 م :: دار ابن كثير للطباعة والنشر والتوزيع",:: Sham@شروح الحديث :: born@IraqRE,pri,https://raw.githubusercontent.com/OpenITI/0300AH/master/data/0276IbnQutaybaDinawari/0276IbnQutaybaDinawari.MasailWaAjwiba/0276IbnQutaybaDinawari.MasailWaAjwiba.Sham19Y0151010-ara1
,Yes,,,ShamAY0038083,yes,0430AbuNucaymIsbahani.MustakhrajCalaSahihBukhari,"Abu Nucaym Isbahani :: ʾAbū Nuʿaym al-Iṣbahānī :: ʾAbū Nuʿaym ʾAḥmad b. ʿAbd Āllāh b. Isḥāq b. Mūs/a b. Mihrān al-^Sāfiʿī, al-Iṣbahānī",430,78496,,:: ShamAY@مخطوطات حديثية :: born@ISBAHAN516E326NS :: born@JibalRE :: died@ISBAHAN516E326NS :: resided@ISBAHAN516E326NS :: visited@NAYSABUR587E361NS :: visited@HAMADHAN485E347NS :: visited@BAGHDAD443E333NS :: visited@ʿIrāqRE :: visited@ḪurāsānRE :: visited@ʿarabRE :: visited@ŠāmRE :: visited@MiṣrRE :: visited@SiqiliyyaŧRE :: visited@AndalusRE,pri,https://raw.githubusercontent.com/OpenITI/0450AH/master/data/0430AbuNucaymIsbahani/0430AbuNucaymIsbahani.MustakhrajCalaSahihBukhari/0430AbuNucaymIsbahani.MustakhrajCalaSahihBukhari.ShamAY0038083-ara1
,Yes,,,Shamela0008203,yes,0458Bayhaqi.Adab,"Bayhaqi :: al-Bayhaqī :: Abū-Bakr Aḥmad b. al-Ḥusayn b. ʿAlī b. Mūsá al-Bayhaqī, al-Ḫusrawǧirdī",458,80056,"مؤسسة الكتب الثقافية، بيروت - لبنان",COMPLETED :: CENT0500 :: AKHLAQ :: HADITH :: GAL@literature-islamic :: GAL@1000-1258CE :: GAL@hadith :: GAL@literature-arabic :: GAL@period-postclassical :: GAL@persia :: PAGINATION :: MISSINGPARTS :: Shamela@متون الحديث :: born@KhurasanRE :: resided@NAYSABUR587E361NS :: resided@TUS594E364NS :: visited@ʿIrāqRE :: visited@ʿarabRE,pri,https://raw.githubusercontent.com/OpenITI/0475AH/master/data/0458Bayhaqi/0458Bayhaqi.Adab/0458Bayhaqi.Adab.Shamela0008203-ara1.completed
,Yes,,,Shamela0005815,yes,0463KhatibBaghdadi.AsmaMubhama,"Khatib Baghdadi :: al-Ḫaṭīb al-Baġdādī :: Abū Bakr Aḥmad b. ʿAlī b. Ṯābit b. Aḥmad b. Mahdī al-Šāfiʿī, al-Baġdādī",463,81835,د. عز الدين علي السيد :: مكتبة الخانجي - القاهرة / مصر,CENT0500 :: CULUM :: HADITH :: TARAJIM :: GAL@historiography :: GAL@literature-islamic :: GAL@1000-1258CE :: GAL@history :: GAL@iraq :: GAL@history-local :: GAL@literature-arabic :: GAL@baghdad :: GAL@period-postclassical :: Shamela@علوم الحديث :: born@IraqRE :: died@BAGHDAD443E333NS :: resided@BAGHDAD443E333NS :: resided@BASRA477E304NS :: resided@KUFA443E320NS :: resided@NAYSABUR587E361NS :: resided@DIMASHQ363E335NS :: resided@SUR352E332NS :: visited@RAYY515E356NS :: visited@ISBAHAN516E326NS :: visited@HAMADHAN485E347NS :: visited@DINAWAR474E346NS :: visited@NAHRAWAN445E334NS :: visited@MAKKA398E213NS :: visited@ŠāmRE,pri,https://raw.githubusercontent.com/OpenITI/0475AH/master/data/0463KhatibBaghdadi/0463KhatibBaghdadi.AsmaMubhama/0463KhatibBaghdadi.AsmaMubhama.Shamela0005815-ara1
